"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: size","Param: type","Param: zeroPercentage"
"project.Benchmarking.multiply:RAM","avgt",1,3,"155,000000",NaN,"#",1024,STRASSEN,90
"project.Benchmarking.multiply","avgt",1,3,"19,335795","0,658618","s/op",2048,SIMPLE,10
"project.Benchmarking.multiply:CPU","avgt",1,3,"3,000859",NaN,"#",2048,SIMPLE,10
"project.Benchmarking.multiply:RAM","avgt",1,3,"270,000000",NaN,"#",2048,SIMPLE,10
"project.Benchmarking.multiply","avgt",1,3,"18,887398","0,147010","s/op",2048,SIMPLE,50
"project.Benchmarking.multiply:CPU","avgt",1,3,"3,000890",NaN,"#",2048,SIMPLE,50
"project.Benchmarking.multiply:RAM","avgt",1,3,"272,000000",NaN,"#",2048,SIMPLE,50
"project.Benchmarking.multiply","avgt",1,3,"19,211739","0,125784","s/op",2048,SIMPLE,90
"project.Benchmarking.multiply:CPU","avgt",1,3,"3,000851",NaN,"#",2048,SIMPLE,90
"project.Benchmarking.multiply:RAM","avgt",1,3,"271,000000",NaN,"#",2048,SIMPLE,90
"project.Benchmarking.multiply","avgt",1,3,"1,732701","0,026952","s/op",2048,FLAT_UNROLLED,10
"project.Benchmarking.multiply:CPU","avgt",1,3,"3,002939",NaN,"#",2048,FLAT_UNROLLED,10
"project.Benchmarking.multiply:RAM","avgt",1,3,"299,000000",NaN,"#",2048,FLAT_UNROLLED,10
"project.Benchmarking.multiply","avgt",1,3,"1,732032","0,020441","s/op",2048,FLAT_UNROLLED,50
"project.Benchmarking.multiply:CPU","avgt",1,3,"3,002976",NaN,"#",2048,FLAT_UNROLLED,50
"project.Benchmarking.multiply:RAM","avgt",1,3,"297,000000",NaN,"#",2048,FLAT_UNROLLED,50
"project.Benchmarking.multiply","avgt",1,3,"1,730832","0,006088","s/op",2048,FLAT_UNROLLED,90
"project.Benchmarking.multiply:CPU","avgt",1,3,"3,002951",NaN,"#",2048,FLAT_UNROLLED,90
"project.Benchmarking.multiply:RAM","avgt",1,3,"299,000000",NaN,"#",2048,FLAT_UNROLLED,90
"project.Benchmarking.multiply","avgt",1,3,"2,512654","0,007048","s/op",2048,STRASSEN,10
"project.Benchmarking.multiply:CPU","avgt",1,3,"3,003017",NaN,"#",2048,STRASSEN,10
"project.Benchmarking.multiply:RAM","avgt",1,3,"597,000000",NaN,"#",2048,STRASSEN,10
"project.Benchmarking.multiply","avgt",1,3,"2,511153","0,012771","s/op",2048,STRASSEN,50
"project.Benchmarking.multiply:CPU","avgt",1,3,"3,003037",NaN,"#",2048,STRASSEN,50
"project.Benchmarking.multiply:RAM","avgt",1,3,"597,000000",NaN,"#",2048,STRASSEN,50
"project.Benchmarking.multiply","avgt",1,3,"2,513170","0,015712","s/op",2048,STRASSEN,90
"project.Benchmarking.multiply:CPU","avgt",1,3,"3,003010",NaN,"#",2048,STRASSEN,90
"project.Benchmarking.multiply:RAM","avgt",1,3,"598,000000",NaN,"#",2048,STRASSEN,90
"project.Benchmarking.multiply","avgt",1,3,"202,877092","0,866218","s/op",4096,SIMPLE,10
"project.Benchmarking.multiply:CPU","avgt",1,3,"3,000208",NaN,"#",4096,SIMPLE,10
"project.Benchmarking.multiply:RAM","avgt",1,3,"1299,000000",NaN,"#",4096,SIMPLE,10
"project.Benchmarking.multiply","avgt",1,3,"198,053025","0,604490","s/op",4096,SIMPLE,50
"project.Benchmarking.multiply:CPU","avgt",1,3,"3,000217",NaN,"#",4096,SIMPLE,50
"project.Benchmarking.multiply:RAM","avgt",1,3,"1304,000000",NaN,"#",4096,SIMPLE,50
"project.Benchmarking.multiply","avgt",1,3,"200,409924","9,687790","s/op",4096,SIMPLE,90
"project.Benchmarking.multiply:CPU","avgt",1,3,"2,999658",NaN,"#",4096,SIMPLE,90
"project.Benchmarking.multiply:RAM","avgt",1,3,"1306,000000",NaN,"#",4096,SIMPLE,90
"project.Benchmarking.multiply","avgt",1,3,"16,949524","0,037810","s/op",4096,FLAT_UNROLLED,10
